H Yields from Leung 2020
H Compiled by Thomas Trueman (November 2023) 
&Isotopes  &Z=0.07    &Z=0.042   &Z=0.028   &Z=0.014   &Z=0.007   &Z=0.0014  &Z=1e-30  
&C-12      &1.11e-3   &1.13e-3   &1.13e-3   &1.15e-3   &1.16e-3   &1.17e-3   &1.18e-3  
&C-13      &1.9e-7    &3.70e-8   &1.21e-8   &3.2e-9    &8.87e-10  &8.4e-11   &1.4e-10  
&N-14      &6.87e-7   &2.52e-7   &7.5e-8    &1.81e-8   &9.2e-9    &1.76e-9   &3.94e-9  
&N-15      &5.54e-9   &1.42e-9   &3.20e-10  &2.13e-10  &5.68e-10  &4.93e-9   &1.0e-6   
&O-16      &6.48e-2   &6.64e-2   &6.68e-2   &6.64e-2   &6.55e-2   &6.34e-2   &5.90e-2  
&O-17      &2.52e-8   &2.43e-8   &2.3e-8    &1.8e-8    &4.18e-9   &2.70e-10  &9.61e-11 
&O-18      &8.97e-9   &2.21e-9   &4.35e-10  &9.43e-11  &6.40e-11  &8.33e-12  &3.29e-12 
&F-19      &2.95e-10  &1.70e-10  &7.87e-11  &2.39e-11  &7.99e-12  &7.31e-12  &5.92e-11 
&Ne-20     &9.83e-4   &1.4e-3    &1.8e-3    &1.15e-3   &1.21e-3   &1.27e-3   &1.30e-3  
&Ne-21     &4.5e-6    &1.56e-6   &5.91e-7   &1.57e-7   &5.8e-8    &5.41e-9   &2.97e-9  
&Ne-22     &4.12e-5   &6.45e-6   &6.35e-7   &9.25e-9   &5.77e-9   &3.38e-9   &5.70e-9  
&Na-23     &5.31e-5   &2.80e-5   &1.58e-5   &8.39e-6   &5.77e-6   &3.86e-6   &3.59e-6  
&Mg-24     &6.29e-4   &7.14e-4   &8.70e-4   &1.28e-3   &1.84e-3   &3.10e-3   &3.69e-3  
&Mg-25     &1.11e-4   &5.87e-5   &3.43e-5   &1.45e-5   &6.20e-6   &8.53e-7   &1.9e-7   
&Mg-26     &2.74e-4   &1.13e-4   &6.82e-5   &2.89e-5   &1.35e-5   &3.45e-6   &1.26e-6  
&Al-27     &1.72e-4   &1.33e-4   &1.23e-4   &1.14e-4   &9.84e-5   &4.76e-5   &2.45e-5  
&Si-28     &1.22e-1   &1.26e-1   &1.26e-1   &1.25e-1   &1.22e-1   &1.18e-1   &1.14e-1  
&Si-29     &1.24e-3   &7.4e-4    &4.74e-4   &2.67e-4   &1.71e-4   &9.34e-5   &2.22e-5  
&Si-30     &4.50e-3   &1.73e-3   &9.29e-4   &3.79e-4   &1.69e-4   &2.23e-5   &1.66e-5  
&P-31      &5.61e-4   &3.74e-4   &2.64e-4   &1.53e-4   &9.33e-5   &2.88e-5   &4.4e-5   
&S-32      &4.28e-2   &5.28e-2   &5.89e-2   &6.56e-2   &6.81e-2   &6.89e-2   &7.11e-2  
&S-33      &3.71e-4   &3.19e-4   &2.65e-4   &1.89e-4   &1.39e-4   &7.31e-5   &1.64e-5  
&S-34      &1.14e-2   &6.58e-3   &4.13e-3   &1.91e-3   &8.82e-4   &1.15e-4   &4.3e-6   
&S-36      &4.76e-6   &1.81e-6   &6.23e-7   &6.35e-8   &9.34e-9   &5.80e-10  &4.11e-12 
