&Isotopes  &Z=0.0    
&H-1       &0.7493   
&H-2       &1.454e-05
&He-3      &4.144e-05
&He-4      &0.2496   
&Li-6      &5.358e-14
&Li-7      &7.612e-13
&Be-9      &1.035e-12
&B-10      &6.424e-12
&B-11      &2.858e-11
&C-12      &0.000125 
&C-13      &4.16e-07 
&N-14      &1.06e-05 
&N-15      &4.174e-08
&O-16      &0.0007409
&O-17      &3.816e-08
&O-18      &2.173e-07
&F-19      &5.616e-09
&Ne-20     &5.753e-05
&Ne-21     &4.579e-08
&Ne-22     &1.472e-06
&Na-23     &4.003e-07
&Mg-24     &1.512e-05
&Mg-25     &7.74e-07 
&Mg-26     &8.856e-07
&Al-27     &6.487e-07
&Si-28     &1.513e-05
&Si-29     &3.923e-07
&Si-30     &2.675e-07
&P-31      &7.113e-08
&S-32      &1.093e-05
&S-33      &3.268e-08
&S-34      &1.892e-07
&S-36      &8.08e-10 
&Cl-35     &6.827e-08
&Cl-37     &2.308e-08
&Ar-36     &1.638e-06
&Ar-38     &1.576e-07
&Ar-40     &2.653e-10
&K-39      &3.903e-08
&K-40      &5.01e-12 
&K-41      &2.961e-09
&Ca-40     &1.206e-06
&Ca-42     &5.068e-09
&Ca-43     &1.083e-09
&Ca-44     &1.712e-08
&Ca-46     &3.432e-11
&Ca-48     &1.674e-09
&Sc-45     &5.419e-10
&Ti-46     &3.235e-09
&Ti-47     &2.98e-09 
&Ti-48     &5.377e-08
&Ti-49     &2.259e-09
&Ti-50     &2.21e-09 
&V-50      &1.016e-11
&V-51      &4.141e-09
&Cr-50     &8.273e-09
&Cr-52     &1.659e-07
&Cr-53     &1.917e-08
&Cr-54     &4.862e-09
&Mn-55     &1.099e-07
&Fe-54     &8.126e-07
&Fe-56     &1.323e-05
&Fe-57     &3.109e-07
&Fe-58     &4.211e-08
&Co-59     &3.995e-08
&Ni-58     &5.716e-07
&Ni-60     &2.278e-07
&Ni-61     &1.007e-08
&Ni-62     &3.262e-08
&Ni-64     &8.576e-09
&Cu-63     &6.606e-09
&Cu-65     &3.037e-09
&Zn-64     &1.132e-08
&Zn-66     &6.696e-09
&Zn-67     &9.989e-10
&Zn-68     &4.636e-09
&Zn-70     &1.578e-10
&Ga-69     &4.555e-10
&Ga-71     &3.11e-10 
&Ge-70     &5.162e-10
&Ge-72     &6.917e-10
&Ge-73     &1.956e-10
&Ge-74     &9.237e-10
&Ge-76     &1.965e-10
&As-75     &1.431e-10
&Se-74     &1.199e-11
