H Yields: 1aSNe (James Keegans)
H Prepared by: Thomas Trueman (October, 2021)
&Isotopes  &Z=0.1     &Z=0.05    &Z=0.02    &Z=0.014   &Z=0.01    &Z=0.005   &Z=0.002   &Z=0.001   &Z=0.0001  &Z=1e-05   &Z=1e-06   &Z=1e-07   &Z=1e-30  
&H-1       &2.33e-14  &2.46e-13  &1.57e-12  &2.88e-12  &4.95e-12  &1.41e-11  &1.52e-09  &6.66e-09  &1.8e-08   &1.95e-08  &1.98e-08  &1.95e-08  &1.96e-08 
&H-2       &1.25e-26  &2.18e-27  &1.9e-26   &4.61e-26  &1.02e-25  &3.8e-25   &2.62e-23  &1.12e-22  &1.87e-22  &1.95e-22  &1.96e-22  &1.95e-22  &1.96e-22 
&He-3      &6.62e-16  &2.61e-16  &6.11e-17  &3.7e-17   &2.36e-17  &9.76e-18  &4.48e-18  &4.95e-18  &8.53e-18  &8.93e-18  &9.04e-18  &9.05e-18  &9.05e-18 
&He-4      &0.0019    &0.0032    &0.0041    &0.0043    &0.0044    &0.0045    &0.0046    &0.0046    &0.0046    &0.0046    &0.0046    &0.0046    &0.0046   
&Li-6      &4.31e-20  &3.43e-20  &2.94e-20  &2.89e-20  &2.84e-20  &2.78e-20  &2.73e-20  &2.48e-20  &2.72e-20  &2.72e-20  &2.47e-20  &2.47e-20  &2.47e-20 
&Li-7      &1.58e-19  &2.28e-19  &1.18e-19  &1.06e-19  &9.18e-20  &1.03e-19  &2.52e-19  &5.33e-19  &9.96e-19  &1.05e-18  &1.04e-18  &1.03e-18  &1.03e-18 
&Be-9      &2.46e-34  &2.28e-34  &1.99e-34  &1.96e-34  &1.77e-34  &7.7e-35   &2.41e-35  &2.48e-36  &1.22e-36  &1.25e-36  &1.24e-36  &1.24e-36  &1.24e-36 
&B-10      &3.33e-21  &3.5e-22   &2.17e-23  &7.3e-24   &2.52e-24  &2.53e-25  &1.24e-26  &1.28e-27  &4.71e-31  &1.75e-31  &1.66e-31  &1.65e-31  &1.65e-31 
&B-11      &7.89e-12  &3.58e-12  &1.39e-12  &9.59e-13  &6.42e-13  &2.22e-13  &3.43e-14  &9.77e-15  &2.32e-12  &4.66e-12  &4.87e-12  &4.89e-12  &4.89e-12 
&C-12      &0.0008    &0.0008    &0.0008    &0.0008    &0.0008    &0.0008    &0.0008    &0.0008    &0.0008    &0.0008    &0.0008    &0.0008    &0.0008   
