H Yields: sn1a Gronow 2021 He detonation
H Prepared by: Thomas Trueman (January, 2022)
&Isotopes  &Z=1.4e-04 &Z=0.0014  &Z=0.042  
&He-4      &1.30e-02  &1.30e-02  &1.20e-03 
&C-12      &7.71e-04  &7.68e-04  &7.55e-04 
&C-13      &4.95e-11  &4.92e-11  &3.96e-11 
&N-14      &1.71e-07  &1.22e-06  &3.51e-05 
&N-15      &1.27e-08  &1.33e-08  &3.35e-08 
&O-16      &6.60e-03  &6.62e-03  &7.09e-03 
&O-17      &1.55e-09  &2.94e-09  &4.73e-08 
&O-18      &1.11e-08  &1.91e-08  &2.74e-07 
&F-19      &6.87e-09  &7.33e-09  &2.16e-08 
&Ne-20     &1.70e-03  &1.69e-03  &1.68e-03 
&Ne-21     &4.93e-08  &5.10e-08  &1.02e-07 
&Ne-22     &2.89e-08  &4.84e-08  &6.70e-07 
&Na-23     &8.08e-06  &8.05e-06  &8.14e-06 
&Mg-24     &3.44e-03  &3.45e-03  &3.51e-03 
&Mg-25     &9.30e-06  &9.34e-06  &1.09e-05 
&Mg-26     &1.65e-05  &1.64e-05  &1.73e-05 
&Al-27     &1.25e-04  &1.25e-04  &1.29e-04 
&Si-28     &8.88e-03  &8.88e-03  &8.96e-03 
&Si-29     &9.37e-05  &9.36e-05  &9.48e-05 
&Si-30     &9.79e-05  &9.80e-05  &1.02e-04 
&P-31      &8.39e-05  &8.39e-05  &8.71e-05 
&S-32      &3.70e-03  &3.70e-03  &3.74e-03 
&S-33      &5.85e-05  &5.83e-05  &5.79e-05 
&S-34      &2.87e-05  &2.87e-05  &3.07e-05 
&S-36      &2.22e-09  &2.39e-09  &6.01e-09 
&Cl-35     &2.93e-05  &2.94e-05  &3.32e-05 
&Cl-37     &7.94e-06  &7.92e-06  &7.96e-06 
&Ar-36     &1.20e-03  &1.20e-03  &1.25e-03 
&Ar-38     &1.20e-05  &1.20e-05  &1.49e-05 
&Ar-40     &5.42e-10  &7.76e-10  &3.60e-09 
&K-39      &4.00e-05  &4.04e-05  &5.93e-05 
&K-41      &6.33e-06  &6.32e-06  &6.70e-06 
&Ca-40     &3.19e-03  &3.20e-03  &3.46e-03 
&Ca-42     &2.59e-06  &2.63e-06  &4.11e-06 
&Ca-43     &5.19e-06  &5.20e-06  &6.40e-06 
&Ca-44     &1.05e-03  &1.05e-03  &1.17e-03 
&Ca-46     &1.51e-11  &1.43e-10  &1.49e-09 
&Ca-48     &7.45e-12  &7.39e-11  &2.06e-09 
&Sc-45     &2.97e-06  &2.98e-06  &3.77e-06 
&Ti-46     &1.94e-06  &1.96e-06  &2.76e-06 
&Ti-47     &3.38e-05  &3.41e-05  &4.74e-05 
&Ti-48     &1.71e-03  &1.71e-03  &1.55e-03 
&Ti-49     &1.14e-05  &1.14e-05  &1.39e-05 
&Ti-50     &2.46e-11  &2.31e-10  &7.80e-09 
&V-50      &7.62e-11  &1.93e-10  &2.91e-09 
&V-51      &6.08e-05  &6.09e-05  &6.20e-05 
&Cr-50     &3.87e-06  &3.90e-06  &5.06e-06 
&Cr-52     &7.32e-04  &7.25e-04  &5.14e-04 
&Cr-53     &1.27e-05  &1.27e-05  &1.22e-05 
&Cr-54     &1.23e-10  &7.42e-10  &2.83e-08 
&Mn-55     &1.74e-05  &1.73e-05  &1.44e-05 
&Fe-54     &4.67e-06  &4.69e-06  &5.33e-06 
&Fe-56     &6.96e-05  &6.90e-05  &5.93e-05 
&Fe-57     &3.40e-06  &3.45e-06  &7.22e-06 
&Fe-58     &2.26e-09  &2.40e-08  &2.06e-06 
&Co-59     &3.87e-07  &6.65e-07  &1.39e-05 
&Ni-58     &2.33e-06  &2.56e-06  &2.22e-05 
&Ni-60     &8.46e-07  &1.67e-06  &1.82e-05 
&Ni-61     &2.10e-07  &4.06e-07  &4.42e-06 
&Ni-62     &2.62e-07  &7.12e-07  &6.75e-06 
&Ni-64     &1.36e-09  &1.34e-08  &2.30e-07 
&Cu-63     &3.34e-08  &1.57e-07  &1.76e-06 
&Zn-64     &8.45e-08  &2.39e-07  &2.16e-06 
&Zn-66     &3.27e-08  &1.12e-07  &8.35e-07 
&Zn-67     &8.82e-09  &2.68e-08  &1.76e-07 
&Zn-68     &1.18e-08  &4.01e-08  &1.78e-07 
&Zn-70     &6.94e-12  &6.98e-11  &2.80e-09 
&Ga-69     &1.17e-09  &5.73e-09  &4.70e-08 
&Ga-71     &2.42e-10  &1.33e-09  &1.42e-08 
