# [Fe/H] Normalized_Count
-2.0000 1.737580e-07
-1.9189 5.950355e-07
-1.8378 1.951190e-06
-1.7568 6.267372e-06
-1.6757 2.017201e-05
-1.5946 6.564034e-05
-1.5135 2.129521e-04
-1.4324 9.372483e-04
-1.3514 2.372066e-03
-1.2703 5.836461e-03
-1.1892 1.350665e-02
-1.1081 3.079948e-02
-1.0270 6.473447e-02
-0.9459 1.146746e-01
-0.8649 1.757931e-01
-0.7838 2.451278e-01
-0.7027 3.114511e-01
-0.6216 3.717977e-01
-0.5405 4.345528e-01
-0.4595 5.108824e-01
-0.3784 5.977277e-01
-0.2973 6.922649e-01
-0.2162 7.895411e-01
-0.1351 8.307482e-01
-0.0541 8.108290e-01
0.0270 7.920370e-01
0.1081 8.598921e-01
0.1892 1.018148e+00
0.2703 1.139638e+00
0.3514 1.039369e+00
0.4324 7.332204e-01
0.5135 4.028740e-01
0.5946 1.854179e-01
0.6757 8.970130e-02
0.7568 4.389021e-02
0.8378 1.816572e-02
0.9189 5.867527e-03
1.0000 1.227444e-03
